track_id,track_name,artist_id,artist_names,album_id,album_name,album_artist_id,album_artist_names,album_release_date,album_image_url,disc_number,track_number,track_duration_ms,explicit,popularity,isrc,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,pop,rock,hip_hop,electronic,rnb_soul,folk,country,ska,dance_disco,indie_alt,retro_vintage,novelty,easy_listening,cultural,jazz,genre_count
1A2PWRltFrX8iB8IP3CUgo,St. Elmos Fire (Man in Motion),3Z1tibPKhUYWCno0IYicCN,John Parr,70P9doc1EAqyb36gRmaPcU,St. Elmo's Fire - Music From The Original Motion Picture Soundtrack,0LyfQWJT6nXafLPZqxe9Of,Various Artists,01/01/1985,https://i.scdn.co/image/ab67616d0000b273c500e7ab2ab870a9fed56e8f,1,1,251800,False,65.0,USAT20105874,0.612,0.6,9.0,-10.945,1.0,0.0327,0.15,3.04e-06,0.222,0.471,111.203,4.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
2Syb63LzFMOo8CMqLdOFWw,Great Wall,2KisNXWizbrJVoif4Lt2u5,Boom Crash Opera,2w41SfGejhAfUQwkajfYzp,Boom Crash Opera,2KisNXWizbrJVoif4Lt2u5,Boom Crash Opera,18/10/1987,https://i.scdn.co/image/ab67616d0000b2737169f4813d7adbe60d031816,1,7,231040,False,36.0,AUBM00700216,0.56,0.951,9.0,-1.943,1.0,0.0373,0.00565,0.339,0.266,0.905,124.744,4.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
0TwATqrZsK5b77bjaPAq23,Love In The Dark,4dpARuHxo51G3z768sgnrY,Adele,7uwTHXmFa1Ebi5flqBosig,25,4dpARuHxo51G3z768sgnrY,Adele,20/11/2015,https://i.scdn.co/image/ab67616d0000b2735ffbbc3dca25d5c81491af1f,1,8,285935,False,0.0,GBBKS1500221,0.472,0.341,9.0,-6.057,0.0,0.0291,0.528,0.0,0.109,0.154,109.901,4.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
6KPMiBhU6O9RBImTQXQNCe,Get Down (You're the One for Me) - LP Edit No Rap,5rSXSAkZ67PYJSvpUpkOr7,Backstreet Boys,1oWxRkI4V9d3hH3PqWpx9H,Backstreet Boys,5rSXSAkZ67PYJSvpUpkOr7,Backstreet Boys,06/05/1996,https://i.scdn.co/image/ab67616d0000b2733d16809ca253f0f476195941,1,3,230386,False,61.0,GBAHK9600025,0.777,0.94,8.0,-5.315,0.0,0.0407,0.0736,0.0,0.135,0.749,113.015,4.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
1o0fE0o08bIKX1mExyRQbz,Saved in a Bottle - Radio Edit,34sQ4BJAwfwQsn9OgJtIzj,The Potbelleez,3SvteappJF4cFwFf3OqMpG,Saved In A Bottle,34sQ4BJAwfwQsn9OgJtIzj,The Potbelleez,01/01/2013,https://i.scdn.co/image/ab67616d0000b273d9a30ef0969589a72158401c,1,1,186093,False,17.0,AUNV01200800,0.512,0.834,5.0,-4.243,1.0,0.0358,0.00366,0.0,0.103,0.314,128.003,4.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
3AJwUDP919kvQ9QcozQPxg,Yellow,4gzpq5DPGxSnKTe4SA8HAU,Coldplay,6ZG5lRT77aJ3btmArcykra,Parachutes,4gzpq5DPGxSnKTe4SA8HAU,Coldplay,10/07/2000,https://i.scdn.co/image/ab67616d0000b2733d92b2ad5af9fbc8637425f0,1,5,266773,False,93.0,GBAYE0000267,0.429,0.661,11.0,-7.227,1.0,0.0281,0.00239,0.000121,0.234,0.285,173.372,4.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
3mLLlN1ZdHmlJHkvNON7ou,Threnody (Bombs Away Remix),2DYDFBqoaBP2i9XrTGpOgF,Naeleck,2CUUZuC9EhMcnU7zdNWWrI,Threnody,2DYDFBqoaBP2i9XrTGpOgF,Naeleck,26/12/2016,https://i.scdn.co/image/ab67616d0000b273924fb5910f77d8d12100716d,1,2,247309,False,59.0,GBLV61637048,0.836,0.926,2.0,-3.728,1.0,0.0495,0.000389,0.32,0.203,0.148,127.977,4.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
2EgAR5nu2dSuT2L9zecdbB,The Lion Sleeps Tonight,6NaacjWVEwO2la6AnxH0ZK,Tight Fit,60kCoyDHm7jZVTsaYIoqMN,Tight Fit,6NaacjWVEwO2la6AnxH0ZK,Tight Fit,30/08/1982,https://i.scdn.co/image/ab67616d0000b2739f36d08580282a9d875d4fd5,1,1,188946,False,45.0,GBAHK0400117,0.674,0.814,5.0,-7.032,1.0,0.0408,0.0171,4.02e-05,0.142,0.803,120.937,4.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
6zJejIfVYLgjud3lTk4DLB,SNAP,46xBNx0j6cwY6sD9LgMTm1,Rosa Linn,2nzuzJvr3yowqbPaYjEYof,SNAP PACK,46xBNx0j6cwY6sD9LgMTm1,Rosa Linn,15/07/2022,https://i.scdn.co/image/ab67616d0000b273c009b22a08eee835ce3efeb9,1,5,179551,False,2.0,USSM12207342,0.565,0.636,0.0,-8.198,1.0,0.0638,0.107,9.9e-06,0.447,0.525,170.01,4.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
2W2vmNmTLERMWT9XBxm35E,Diggin' On You,0TImkz4nPqjegtVSMZnMRq,TLC,5eg56dCpFn32neJak2vk0f,Crazysexycool,0TImkz4nPqjegtVSMZnMRq,TLC,15/11/1994,https://i.scdn.co/image/ab67616d0000b273a6125b1964a555892c49ea53,1,4,254560,False,57.0,USLF29400111,0.719,0.631,6.0,-7.411,1.0,0.0451,0.0235,0.702,0.0686,0.456,80.127,4.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
